Expression	Value	Location	Type
Volt	<struct>	0x20000000	struct <Unnamed 1>
ref	3.2384526722	0x20000000	float
meas_0	1.63744104	0x20000004	float
ref_a	<array>	0x20000008	unsigned short[1000]
meas_a	<array>	0x200007D8	unsigned short[1000]
[0]	41047	0x200007D8	unsigned short
[1]	44683	0x200007DA	unsigned short
[2]	47436	0x200007DC	unsigned short
[3]	50524	0x200007DE	unsigned short
[4]	52538	0x200007E0	unsigned short
[5]	54926	0x200007E2	unsigned short
[6]	58008	0x200007E4	unsigned short
[7]	62448	0x200007E6	unsigned short
[8]	319	0x200007E8	unsigned short
[9]	3243	0x200007EA	unsigned short
[10]	7113	0x200007EC	unsigned short
[11]	10327	0x200007EE	unsigned short
[12]	13268	0x200007F0	unsigned short
[13]	15863	0x200007F2	unsigned short
[14]	18231	0x200007F4	unsigned short
[15]	19241	0x200007F6	unsigned short
[16]	19614	0x200007F8	unsigned short
[17]	19847	0x200007FA	unsigned short
[18]	20556	0x200007FC	unsigned short
[19]	21537	0x200007FE	unsigned short
[20]	22465	0x20000800	unsigned short
[21]	23525	0x20000802	unsigned short
[22]	24139	0x20000804	unsigned short
[23]	24617	0x20000806	unsigned short
[24]	24829	0x20000808	unsigned short
[25]	24936	0x2000080A	unsigned short
[26]	25095	0x2000080C	unsigned short
[27]	24830	0x2000080E	unsigned short
[28]	23675	0x20000810	unsigned short
[29]	22495	0x20000812	unsigned short
[30]	21468	0x20000814	unsigned short
[31]	20827	0x20000816	unsigned short
[32]	20548	0x20000818	unsigned short
[33]	20725	0x2000081A	unsigned short
[34]	21163	0x2000081C	unsigned short
[35]	21692	0x2000081E	unsigned short
[36]	22417	0x20000820	unsigned short
[37]	23250	0x20000822	unsigned short
[38]	24324	0x20000824	unsigned short
[39]	25666	0x20000826	unsigned short
[40]	26504	0x20000828	unsigned short
[41]	27273	0x2000082A	unsigned short
[42]	27972	0x2000082C	unsigned short
[43]	28992	0x2000082E	unsigned short
[44]	30201	0x20000830	unsigned short
[45]	32300	0x20000832	unsigned short
[46]	34207	0x20000834	unsigned short
[47]	35999	0x20000836	unsigned short
[48]	37648	0x20000838	unsigned short
[49]	39669	0x2000083A	unsigned short
